lease_id,hostname,name,beg,end
476,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-03-24 07:00:00,2016-03-24 10:00:00.000
2221,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-03-24 12:00:00,2016-03-24 14:00:00.000
478,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-24 14:00:00,2016-03-24 15:00:00.000
2223,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-24 16:00:00,2016-03-24 17:00:00.000
2225,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-24 17:00:00,2016-03-24 18:00:00.000
2226,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-24 18:00:00,2016-03-24 20:00:00.000
2227,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-24 20:00:00,2016-03-24 21:00:00.000
2228,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-25 06:00:00,2016-03-25 07:00:00.000
490,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-25 07:00:00,2016-03-25 08:00:00.000
2237,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-25 08:00:00,2016-03-25 09:00:00.000
2240,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-25 09:00:00,2016-03-25 10:00:00.000
506,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-25 10:00:00,2016-03-25 11:00:00.000
514,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-25 11:00:00,2016-03-25 12:00:00.000
2262,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-25 12:00:00,2016-03-25 13:00:00.000
529,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-25 13:00:00,2016-03-25 14:00:00.000
539,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-25 14:00:00,2016-03-25 18:00:00.000
562,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-25 18:00:00,2016-03-25 19:00:00.000
571,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-25 19:00:00,2016-03-25 20:00:00.000
2316,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-25 20:00:00,2016-03-25 21:00:00.000
2319,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-25 21:00:00,2016-03-25 22:00:00.000
576,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-25 22:00:00,2016-03-25 23:00:00.000
